jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kamienica,,1478.0,1657.0,1766.0,2015.0,2221.72,2399.68,2829.59,2685.72,3156.57,3269.81,3355.47,3257.5,4028.56,3989.26,4259.63,4489.83,5212.59
Laskowa,,1325.0,1662.0,1575.0,1815.0,2811.45,2527.76,2630.45,2997.53,3698.22,4578.28,3436.89,3483.37,3369.34,3791.54,4431.25,4891.63,5381.99
Limanowa,,1238.0,1338.0,1475.0,1746.0,1985.08,2041.04,2328.69,2451.96,3049.91,2926.51,2956.15,2791.49,2759.87,2832.91,3655.19,4151.82,4426.41
Łukowica,,1514.0,1728.0,1653.0,1905.0,2313.13,2418.66,2729.88,2843.22,3426.55,3368.22,3390.55,3295.02,3842.18,3609.12,4376.98,4912.46,5300.91
Mszana Dolna,,1225.0,1455.0,1648.0,1845.0,2135.73,2298.32,2583.9,2801.47,2841.49,2644.38,2914.21,2888.72,3562.63,3367.7,3879.02,4452.16,4548.05
Niedźwiedź,,1521.0,1722.0,1825.0,2256.0,2350.79,2490.97,2722.25,2854.04,3177.52,3469.79,3247.5,3534.31,3766.73,3725.11,4642.36,4976.83,5276.27
Słopnice,,1419.0,1392.0,1612.0,1830.0,2291.73,2413.61,2663.26,3021.97,3609.86,3589.3,3712.84,3979.82,3554.7,3792.42,4568.02,4859.73,5063.72
Tymbark,,1577.0,1557.0,1644.0,1887.0,2387.18,2343.56,2772.65,2709.47,3142.88,3133.66,3300.68,3173.14,3373.96,3489.03,3937.7,4261.93,4874.03
Powiat nowosądecki,,1552.0,1522.0,1638.0,1855.0,2137.66,2353.11,2651.18,2831.54,3355.52,3448.9,3474.82,3370.86,3548.01,3865.0,4382.47,4672.22,5165.1
Grybów,,1332.0,1367.0,1468.0,1870.0,1878.25,2057.83,2555.57,2474.92,3349.41,3448.76,4204.05,2895.64,3149.16,3078.43,3780.88,4306.31,4719.75
Chełmiec,,1522.0,1445.0,1568.0,1805.0,1997.39,2180.67,2533.4,2855.91,3228.32,3175.77,3370.99,3211.3,3551.66,4991.46,5111.19,4747.49,5153.12
Gródek nad Dunajcem,,1827.0,1875.0,1867.0,1821.0,2454.5,2543.28,2802.46,2768.19,3400.5,4270.84,3546.27,3159.11,3470.98,3614.43,4531.15,4802.51,5030.42
Grybów,,1316.0,1385.0,1541.0,1813.0,2073.77,2191.64,2358.84,2549.2,3129.78,2949.52,3248.65,3176.72,3481.22,3509.18,4398.2,4658.94,4914.73
Kamionka Wielka,,1333.0,1357.0,1525.0,1995.0,1964.62,2316.56,2474.6,2399.65,2906.98,3253.53,2887.29,2976.77,3030.53,3561.26,3942.99,4339.53,4870.69
Korzenna,,1466.0,1413.0,1507.0,1709.0,2090.94,2395.7,2640.99,2832.91,3103.0,3360.46,3716.79,3241.24,3673.0,3714.06,4304.64,4740.29,5619.06
Krynica-Zdrój,,1692.0,1694.0,2127.0,2141.0,2428.75,2760.47,3943.93,3892.85,5456.29,5297.42,4627.51,4274.55,4272.62,4756.71,5401.92,5460.09,5933.08
Łabowa,,1539.0,1542.0,1730.0,1985.0,2322.14,2604.23,2695.33,3206.2,3805.27,3792.98,3547.74,3820.98,4164.96,4062.43,4370.91,4811.05,5565.22
Łącko,,1410.0,1551.0,1594.0,1841.0,2067.31,2325.78,2629.39,2676.3,3022.09,3448.93,3164.72,3415.7,4143.46,3714.84,4484.59,5289.46,5624.3
Łososina Dolna,,1429.0,1377.0,1654.0,1780.0,2086.35,2285.7,2556.89,2569.02,3207.8,3274.52,3431.64,3280.2,3435.74,3370.09,3987.72,4559.27,4838.77
Muszyna,,2682.0,2066.0,1787.0,2067.0,2552.23,3406.02,2664.99,3754.26,4971.36,4082.33,4572.45,4957.51,3430.67,4122.12,4332.9,4536.42,5340.12
Nawojowa,,1564.0,1579.0,1588.0,1960.0,2105.84,2215.36,2666.99,2669.41,2763.12,3223.54,3017.52,2957.28,3165.3,3283.82,3944.89,4227.7,4988.63
Piwniczna-Zdrój,,1746.0,1609.0,1682.0,1848.0,2137.76,2280.25,2461.63,2658.96,3007.17,3458.75,3776.74,3539.15,3455.06,3404.86,4220.97,4388.84,4670.09
Podegrodzie,,1403.0,1641.0,1505.0,1739.0,1967.82,2141.06,2450.89,2594.75,2573.82,2952.62,3226.28,3122.14,3526.77,4007.94,4209.24,4642.3,4916.6
Rytro,,2225.0,1504.0,1775.0,2272.0,2053.14,2312.16,2473.27,2569.35,3118.98,3819.66,3093.56,2847.97,2967.45,3204.09,3858.71,4281.36,4784.68
Stary Sącz,,1254.0,1282.0,1484.0,1641.0,2108.27,2051.41,2421.37,2576.12,2677.56,2676.63,2743.42,2947.74,3203.96,3401.73,3656.78,4205.83,5053.17
Powiat m.Nowy Sącz,,2907.0,2268.0,2526.0,2933.0,3170.02,3438.18,3728.52,3976.39,4314.73,4714.88,4530.29,4559.09,5009.78,5493.35,5809.13,6107.43,7561.83
Nowy Sącz,,2907.0,2268.0,2526.0,2933.0,3170.02,3438.18,3728.52,3976.39,4314.73,4714.88,4530.29,4559.09,5009.78,5493.35,5809.13,6107.43,7561.83
Powiat chrzanowski,,1311.0,1372.0,1476.0,1676.0,1913.04,2167.36,2251.31,2234.25,2475.89,2692.27,2735.47,2817.41,2781.55,2884.65,3469.01,3763.48,4072.33
Alwernia,,1294.0,1241.0,1287.0,1463.0,1644.46,1791.81,1896.38,1948.74,2118.71,2061.01,2385.69,2328.38,2396.09,2430.47,3062.05,3439.02,3687.04
Babice,,1215.0,1182.0,1421.0,1444.0,1664.64,1773.09,1954.54,2004.37,2085.34,2195.13,2332.36,2524.03,2578.2,2991.33,3321.46,3520.3,3839.63
Chrzanów,,1203.0,1341.0,1395.0,1706.0,1794.42,2209.18,2237.16,2421.44,2680.37,3148.46,3047.56,3024.84,2922.83,2918.85,3498.89,3751.12,4118.54
Libiąż,,1299.0,1243.0,1413.0,1533.0,1798.65,1784.59,1853.81,1833.5,1975.36,2199.67,2256.69,2408.35,2452.62,2710.15,3320.79,3745.15,3902.79
Trzebinia,,1508.0,1602.0,1721.0,1866.0,2328.72,2606.69,2747.73,2396.74,2749.17,2733.3,2845.61,3054.52,2997.03,3092.49,3715.56,3977.89,4326.31
Powiat olkuski,,1295.0,1331.0,1428.0,1587.0,1785.05,2028.52,2194.11,2154.29,2326.71,2526.68,2623.86,2718.61,2867.31,2968.29,3463.38,3819.25,4271.1
Bukowno,,1590.0,1747.0,1701.0,1801.0,1984.09,2271.55,2657.97,2475.2,2446.63,3188.3,3239.88,3425.07,3321.29,3337.67,3899.8,4243.34,4592.34
Bolesław,,1809.0,1628.0,1880.0,2051.0,2199.98,2543.55,2811.14,2716.6,3567.31,3396.92,3235.19,3324.82,3777.46,4334.37,4655.95,4703.23,5341.35
Klucze,,1384.0,1477.0,1513.0,1887.0,1930.83,2167.14,2199.15,2244.64,2385.61,2626.17,2582.16,2819.41,2745.05,2892.81,3451.82,3800.21,4806.73
Olkusz,,1199.0,1228.0,1338.0,1469.0,1686.66,1970.15,2084.64,1978.84,2133.9,2269.7,2447.44,2552.94,2736.74,2763.24,3245.07,3540.83,3759.81
Trzyciąż,,1138.0,1110.0,1281.0,1525.0,1761.19,1854.09,2221.91,2474.8,2594.62,2904.11,3125.54,2785.4,2987.11,3151.67,3428.75,3718.99,3994.96
Wolbrom,,1190.0,1239.0,1337.0,1415.0,1681.57,1835.64,1997.03,2038.54,2152.19,2311.03,2396.25,2467.99,2683.57,2779.94,3352.01,3971.64,4595.38
Powiat oświęcimski,,1460.0,1440.0,1585.0,1777.0,1995.42,2125.73,2303.75,2343.45,2503.11,2701.83,2803.95,2852.45,2943.85,3093.8,3842.04,4076.95,4488.01
Oświęcim,,1738.0,1691.0,1819.0,2147.0,2486.28,2736.42,2830.39,2894.12,3018.4,3182.69,3379.92,3666.74,3632.2,3812.13,4924.45,5039.86,5203.73
Brzeszcze,,1576.0,1305.0,1737.0,1985.0,2027.17,2113.84,2214.74,2039.29,2274.23,2340.84,2363.14,2430.01,2637.88,2951.43,3968.84,4132.09,4809.71
Chełmek,,1290.0,1260.0,1476.0,1531.0,1973.41,1771.26,2165.75,1870.65,2150.91,2257.7,2676.62,2355.83,2228.54,2568.65,3043.54,3384.04,3802.09
Kęty,,1243.0,1268.0,1435.0,1560.0,1702.82,1828.93,2074.45,2180.57,2370.87,2256.24,2361.22,2397.4,2585.37,2658.2,3219.97,3492.58,3844.64
Osiek,,1210.0,1937.0,1344.0,1490.0,1693.09,1932.25,2092.24,2289.62,2162.09,2762.93,2848.4,2559.5,2897.05,2890.74,3409.86,3902.18,4310.48
Oświęcim,,1384.0,1263.0,1415.0,1512.0,1710.32,1849.6,2037.82,2181.94,2261.29,2322.35,2654.21,2581.42,2757.63,2741.54,3360.81,3713.25,4034.6
