jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lubycza Królewska,,,,,,,,,,,,,,,,3437.33,3897.54,4391.23
Łaszczów,,1459.0,1376.0,1691.0,1938.0,1925.05,2277.44,2378.6,2464.12,,,,,,,,,
Łaszczów,,,,,,,,,,2815.23,2977.24,3520.04,3092.51,3046.3,3275.58,3612.29,3582.34,4271.88
Rachanie,,1281.0,1269.0,1575.0,1577.0,1634.23,1943.96,2055.11,2229.98,2297.86,2472.31,3390.8,2534.66,2592.18,2562.33,3281.31,3709.51,3988.06
Susiec,,1379.0,1599.0,1582.0,1621.0,1882.36,2076.7,2133.4,2249.44,2529.39,2537.35,2672.31,2686.31,3259.05,3113.65,3721.46,4198.21,4611.05
Tarnawatka,,1271.0,1274.0,1497.0,2208.0,2509.68,2104.79,2371.49,2544.68,2976.0,3293.99,3011.04,3417.36,3570.36,3230.29,4153.78,5434.44,4878.21
Telatyn,,1249.0,1260.0,1514.0,1550.0,1625.95,1889.7,2162.54,2297.38,2416.73,2395.12,3339.44,2694.44,3036.16,2803.97,3268.99,3588.48,4071.21
Tomaszów Lubelski,,896.0,926.0,1057.0,1293.0,1479.57,1682.47,1948.19,1953.11,2316.07,2234.69,2425.83,2401.08,2606.35,2525.36,3536.66,3919.17,4266.62
Tyszowce,,1099.0,1262.0,1282.0,1449.0,1564.93,1940.52,2127.94,2268.66,2670.68,2708.53,3766.38,3108.6,2887.52,3130.9,3916.89,4077.04,4600.02
Ulhówek,,1979.0,1574.0,1630.0,1772.0,1928.08,1979.31,2250.35,2409.41,2450.73,2884.55,3506.04,3165.09,3255.66,3163.02,3607.91,3998.71,4054.26
Powiat zamojski,,1196.0,1258.0,1412.0,1582.0,1747.88,1911.72,2093.24,2218.08,2456.29,2604.04,2737.09,2744.45,2827.98,2899.91,3354.11,3692.67,4182.76
Adamów,,1017.0,1179.0,1408.0,1537.0,1634.32,1852.46,2054.9,2094.41,2565.16,2519.74,2556.49,2738.05,2772.7,2776.24,3846.95,3936.38,4998.31
Grabowiec,,1087.0,1135.0,1266.0,1429.0,1784.65,1774.9,2112.4,2167.39,2481.96,2433.12,2577.78,2839.96,2749.14,2748.9,3440.8,3795.07,4266.67
Komarów-Osada,,1317.0,1361.0,1555.0,1652.0,1794.61,2199.3,2329.97,2386.93,2787.08,3208.38,3572.94,3417.05,3062.18,2668.41,3233.92,3697.65,4119.37
Krasnobród,,1500.0,1467.0,1574.0,1870.0,2191.78,2164.37,2351.15,2393.51,2516.91,3123.62,3525.33,3226.37,3307.2,3317.43,3691.44,3725.47,4104.71
Łabunie,,1310.0,1306.0,1400.0,1625.0,1817.63,1956.99,2251.21,2391.57,2546.07,3130.53,2847.69,2863.28,2757.91,3071.65,3481.46,3736.92,4741.82
Miączyn,,1228.0,1196.0,1371.0,1500.0,1756.96,1866.32,2162.05,2323.68,2337.39,2512.98,2612.41,2679.34,2749.83,2584.74,3253.42,3665.47,3996.52
Nielisz,,1214.0,1182.0,1384.0,1506.0,1670.92,1879.04,2180.74,2308.41,2329.3,2399.21,2712.63,3197.41,3121.16,2770.09,3276.21,3993.86,4501.53
Radecznica,,1152.0,1236.0,1326.0,1322.0,1526.68,1671.93,1900.26,2053.75,2590.24,2315.12,2523.26,2496.34,2537.1,2709.15,3239.63,3693.49,3799.33
Sitno,,1317.0,1379.0,1512.0,1673.0,1769.68,1945.9,2147.27,2240.59,2285.75,2454.37,2985.75,2658.06,2735.59,3431.2,3468.45,3824.0,4088.57
Skierbieszów,,1281.0,1290.0,1419.0,1530.0,1887.32,1922.62,2283.95,2517.51,2639.87,3259.59,2798.91,3015.62,3296.56,3092.03,3325.24,3596.34,4238.68
Stary Zamość,,1244.0,1259.0,1429.0,1644.0,1774.27,1997.97,2099.78,2236.32,2336.33,2687.28,2606.76,2770.32,2711.93,2706.71,3429.94,3851.28,4209.31
Sułów,,1125.0,1229.0,1396.0,1497.0,1613.2,1800.91,1986.29,2438.62,2377.08,2428.23,2587.56,2769.95,2779.95,3654.76,3489.38,3619.65,4751.68
Szczebrzeszyn,,1154.0,1212.0,1339.0,1702.0,1780.12,1917.4,1876.65,2056.32,2483.2,2296.94,2196.91,2380.06,2855.25,2691.48,3017.82,3444.03,3568.3
Zamość,,1027.0,1149.0,1338.0,1457.0,1589.79,1747.67,1948.25,2028.29,2271.48,2352.33,2445.14,2351.32,2509.86,2615.13,3174.48,3645.31,4206.4
Zwierzyniec,,1258.0,1457.0,1605.0,1823.0,1855.75,2239.03,2222.14,2269.58,2744.04,2775.35,3454.44,3161.37,3205.43,3438.57,3737.98,3606.45,4001.68
Powiat m.Chełm,,2127.0,2046.0,2243.0,2341.0,2427.61,2646.16,2971.72,2966.03,3311.21,3621.31,3724.41,3796.45,4102.13,4060.4,4719.99,4912.88,5426.78
Chełm,,2127.0,2046.0,2243.0,2341.0,2427.61,2646.16,2971.72,2966.03,3311.21,3621.31,3724.41,3796.45,4102.13,4060.4,4719.99,4912.88,5426.78
Powiat m.Zamość,,2295.0,2333.0,2351.0,2587.0,2938.43,3362.02,3724.16,3844.76,4159.67,4678.42,5281.7,4522.46,5041.95,4930.68,5648.15,5919.18,6251.62
Zamość,,2295.0,2333.0,2351.0,2587.0,2938.43,3362.02,3724.16,3844.76,4159.67,4678.42,5281.7,4522.46,5041.95,4930.68,5648.15,5919.18,6251.62
Powiat lubartowski,,1280.0,1406.0,1483.0,1663.0,1857.07,2089.03,2172.8,2367.19,2702.28,2867.88,3001.19,3064.34,3149.47,3342.39,3683.99,4167.74,4572.2
Lubartów,,1272.0,1352.0,1484.0,1531.0,1670.34,2077.59,2019.36,2215.03,2363.15,2842.73,2459.44,2788.74,2841.6,3370.1,3483.01,3806.21,4008.78
Abramów,,1162.0,1386.0,1381.0,1661.0,2232.51,1914.52,2120.75,2484.09,2574.4,2685.29,2673.71,3065.59,2866.89,3258.11,3730.02,4195.82,4523.28
Firlej,,1528.0,1578.0,1849.0,1918.0,2156.79,2118.79,2274.28,2459.77,3666.64,3144.84,3033.37,2865.92,4597.37,3801.13,3856.29,4803.36,5308.71
Jeziorzany,,1283.0,1321.0,1335.0,1705.0,1862.99,2026.0,2252.88,2714.74,3029.6,2828.66,4335.7,2741.46,3442.03,4241.38,4514.44,4153.57,5694.35
Kamionka,,1297.0,1382.0,1490.0,1543.0,1827.06,1944.91,2155.09,2284.93,2682.28,2596.69,2610.27,3218.93,3051.78,3166.95,3621.04,3975.79,4547.09
Kock,,1408.0,1651.0,1737.0,1761.0,1994.44,2162.22,2506.78,3016.16,2932.73,3494.37,3644.02,4285.28,3616.99,3711.82,4114.96,4569.01,5136.85
Lubartów,,1123.0,1197.0,1286.0,1452.0,1814.51,2381.38,1897.49,2174.89,3144.56,3005.58,2802.1,2925.59,2997.35,2960.98,3581.77,4381.77,4868.05
Michów,,1381.0,1516.0,1508.0,1708.0,1926.53,1994.45,2220.82,2449.9,2590.59,2695.51,3197.61,2889.59,3011.41,3294.26,4092.89,4603.95,4314.44
Niedźwiada,,1148.0,1239.0,1319.0,1652.0,1767.46,2016.97,2189.31,2280.1,2513.02,2869.89,3632.6,3705.97,2990.61,3313.17,3553.28,4070.69,4559.59
Ostrów Lubelski,,1284.0,1421.0,1385.0,1804.0,1738.57,2034.62,2154.75,2258.02,2512.22,2471.78,2835.5,2920.08,3343.74,3156.4,3602.62,3776.31,4615.54
Ostrówek,,1224.0,1339.0,1373.0,1800.0,1864.0,1997.19,3016.92,2446.71,2791.18,3138.03,3697.15,2962.35,3132.75,4015.14,3893.38,4468.38,4935.38
Serniki,,1253.0,1449.0,1543.0,1624.0,1840.95,2132.86,2147.62,2270.05,2413.04,2581.04,3249.34,2756.89,2702.87,2676.01,3487.9,4181.07,4227.18
Uścimów,,1325.0,1807.0,1591.0,2301.0,2252.2,2069.87,2170.74,2487.83,2499.68,2663.94,3469.56,3213.16,3408.24,3177.85,3254.12,3907.6,4529.88
Powiat lubelski,,1167.0,1197.0,1327.0,1490.0,1733.32,1863.0,2009.77,2111.49,2392.15,2506.91,2623.26,2596.29,2824.94,2893.61,3470.38,3908.89,4638.83
Bełżyce,,1172.0,1144.0,1220.0,1311.0,1516.6,1691.5,1772.85,1910.09,2083.54,2430.74,2943.29,2377.58,2717.71,2562.55,3374.92,3486.22,3763.2
Borzechów,,1177.0,1253.0,1351.0,1630.0,1954.23,2009.09,2081.13,2311.22,2587.79,2542.12,2549.99,2794.88,2733.22,2652.61,3305.41,4523.56,4343.01
Bychawa,,1129.0,1213.0,1228.0,1328.0,1554.11,1862.93,2047.07,1947.77,2448.35,2241.44,2244.94,2415.05,2977.14,2505.4,3332.74,3798.23,4491.08
Garbów,,1285.0,1313.0,1456.0,1569.0,1821.73,2057.1,2032.01,2168.77,2408.46,2641.31,2625.49,2872.77,3305.25,3224.1,3569.47,4064.38,4572.51
Głusk,,1231.0,1188.0,1409.0,1646.0,1956.66,1926.06,2092.96,2133.9,3161.45,2897.53,2492.46,2642.07,3041.17,3424.29,3698.93,4736.92,6383.12
Jabłonna,,1166.0,1202.0,1290.0,1429.0,1686.61,1871.88,2059.11,2148.03,2336.12,2462.21,2618.89,2615.78,2749.08,3150.63,3358.36,3908.46,4502.38
Jastków,,1178.0,1145.0,1342.0,1732.0,2178.84,1990.75,2049.97,2131.51,2402.73,2401.43,2874.14,2770.35,2916.17,2979.13,3466.43,3773.26,4852.23
Konopnica,,1100.0,1046.0,1207.0,1380.0,1586.37,1859.63,1868.23,1793.6,2165.81,2216.63,2145.07,2351.36,2466.35,2885.66,3545.32,3673.59,4201.97
Krzczonów,,1003.0,1008.0,1257.0,1339.0,1669.19,1762.42,2016.94,2133.37,2310.66,2463.23,3081.62,3044.88,2805.42,3037.96,3456.76,3928.68,4668.51
Niedrzwica Duża,,1166.0,1211.0,1280.0,1500.0,1636.07,1827.26,2004.95,2284.73,2415.63,2534.69,3025.33,2613.4,2601.68,2727.28,3483.68,4146.33,5057.44
Niemce,,1240.0,1234.0,1389.0,1609.0,1855.86,1974.09,2166.56,2130.49,2267.37,2257.27,2414.37,2405.55,2899.62,3012.78,3430.41,3816.79,4712.54
Strzyżewice,,1222.0,1329.0,1392.0,1414.0,1680.68,1739.36,2024.86,1939.92,2714.08,2513.37,2282.79,2325.16,2557.02,2699.69,3350.39,3678.73,4772.99
Wojciechów,,1191.0,1271.0,1284.0,1551.0,1655.45,1739.69,1907.64,2135.65,2213.87,2491.33,2952.47,3142.3,2830.05,2918.45,3727.69,4046.96,4357.21
Wólka,,1110.0,1147.0,1451.0,1532.0,1622.44,1765.27,1997.16,2491.51,2274.58,2917.11,2572.49,2687.99,2756.69,2907.32,3462.6,3911.51,3985.95
Wysokie,,1099.0,1104.0,1380.0,1444.0,1632.2,1846.74,2101.48,2371.3,2592.78,3185.42,3014.95,2739.08,2877.21,2733.03,3370.23,3833.32,5183.59
Zakrzew,,987.0,1557.0,1499.0,1379.0,1804.83,1770.74,1999.78,2155.45,2429.86,3021.97,2869.46,2763.25,3334.55,2778.24,3775.17,3813.41,4522.25
Powiat łęczyński,,1329.0,1512.0,1649.0,1809.0,1961.33,2143.5,2487.42,2469.12,2779.22,2974.17,3389.57,3158.19,3257.81,3136.69,3873.35,4187.89,4601.22
Cyców,,1288.0,1301.0,1589.0,1904.0,1871.6,1990.96,2485.92,2337.48,2734.83,2969.83,4275.5,3240.06,3725.94,3255.6,4436.13,4575.59,5381.82
Ludwin,,1495.0,1825.0,2090.0,2225.0,2084.53,2174.09,2571.14,2580.74,2940.85,3180.03,3612.41,3269.48,3687.99,3387.36,4062.61,4485.89,4568.18
Łęczna,,1278.0,1443.0,1528.0,1707.0,1771.98,2013.89,2085.37,2129.99,2318.57,2242.28,2322.95,2514.22,2660.5,2634.3,3162.57,3463.59,3592.73
Milejów,,1114.0,1252.0,1306.0,1488.0,1745.97,1925.1,2034.81,2388.11,2580.24,2782.61,2891.54,3127.01,2986.82,2800.84,3440.15,3856.04,4882.19
Puchaczów,,2154.0,2795.0,2914.0,2812.0,3785.61,3690.14,5799.09,4638.62,5746.77,7172.48,7777.04,6098.89,5642.38,5812.71,6980.41,7238.33,7433.16
Spiczyn,,1113.0,1150.0,1353.0,1429.0,1580.07,1889.56,1981.55,2204.5,2291.75,2375.23,3266.24,2965.73,2872.21,2779.71,3529.14,3888.69,4446.37
Powiat świdnicki,,1114.0,1201.0,1298.0,1527.0,1665.3,1877.65,2159.67,2000.07,2282.88,2586.9,2664.64,2749.95,2894.49,2918.71,3559.36,3606.68,4064.73
Świdnik,,1065.0,1197.0,1260.0,1487.0,1682.6,1881.24,2266.25,1875.72,2164.28,2541.17,2437.61,2600.21,2672.76,2735.07,3412.78,3413.09,3763.37
Mełgiew,,1223.0,1246.0,1285.0,1595.0,1579.92,1830.28,2061.16,2208.93,2206.26,2527.98,2754.47,2873.46,3746.74,3070.6,3894.01,3640.36,4054.78
Piaski,,1124.0,1122.0,1303.0,1515.0,1640.69,1976.55,2049.05,2128.08,2696.36,2566.13,2873.13,3067.09,3066.16,3604.65,3766.97,4249.36,4981.6
Rybczewice,,1171.0,1249.0,1342.0,1443.0,1650.25,1843.56,2031.51,2184.48,2724.18,3118.89,2836.26,2815.48,2999.76,3014.33,4195.39,3850.02,5115.85
Trawniki,,1200.0,1249.0,1450.0,1691.0,1702.69,1805.25,1970.83,2116.73,2217.42,2657.27,3261.84,2888.13,2758.15,2731.79,3366.32,3578.64,3924.19
Powiat m.Lublin,,1862.0,1772.0,2074.0,2208.0,2596.64,2867.9,3093.53,3349.43,3549.45,3987.99,4417.37,5163.3,5331.41,4979.76,5379.77,6013.94,6597.51
Lublin,,1862.0,1772.0,2074.0,2208.0,2596.64,2867.9,3093.53,3349.43,3549.45,3987.99,4417.37,5163.3,5331.41,4979.76,5379.77,6013.94,6597.51
Powiat janowski,,1162.0,1291.0,1469.0,1636.0,1864.66,2101.28,2486.25,2426.29,3006.13,2651.52,2893.49,2951.5,3012.98,3466.47,3495.31,3957.48,4583.77
Batorz,,1303.0,1520.0,1642.0,1703.0,1975.24,2291.38,2680.06,2638.93,2707.03,2830.43,3138.82,3442.54,3383.98,3814.6,3839.62,4096.93,4661.53
Chrzanów,,1098.0,1129.0,1312.0,1320.0,1771.23,1912.3,2231.74,2395.26,2308.61,2593.13,3679.9,2958.85,3055.84,3842.57,3625.64,4160.48,4358.05
Dzwola,,1058.0,1129.0,1296.0,1429.0,1677.85,1791.27,2158.84,2207.46,2417.47,2452.82,2747.43,2722.79,2908.65,3218.33,3545.76,3917.35,4624.03
Godziszów,,1056.0,1158.0,1286.0,1533.0,1818.94,2205.11,2537.85,2495.2,2457.3,2665.44,3075.32,3454.93,3182.26,3439.5,3535.4,3878.29,4928.72
Janów Lubelski,,1160.0,1191.0,1538.0,1828.0,1964.52,2238.5,2768.32,2335.44,4043.08,2650.17,2807.56,2876.82,3060.65,3444.56,3396.67,3978.14,4020.63
Modliborzyce,,1222.0,1608.0,1634.0,1600.0,1839.42,2009.24,2255.64,2559.16,2501.47,2727.86,2735.74,2711.13,,,,,
Modliborzyce,,,,,,,,,,,,,,2795.86,3217.55,3376.22,3651.56,5294.02
Potok Wielki,,1297.0,1478.0,1447.0,1628.0,1866.35,2060.37,2296.9,2610.42,2438.81,2700.59,2716.02,2876.05,2809.07,3794.87,3562.15,4270.25,5046.93
Powiat kraśnicki,,1168.0,1227.0,1340.0,1462.0,1660.24,1901.62,2024.88,2163.92,2388.27,2459.38,2510.23,2635.51,2834.51,2990.95,3497.73,3723.28,4215.52
Kraśnik,,1146.0,1167.0,1335.0,1421.0,1513.46,1941.13,1962.33,2019.42,2162.93,2249.53,2230.54,2452.76,2654.49,2704.63,3372.65,3485.83,3789.33
Annopol,,1326.0,1373.0,1397.0,1619.0,2029.38,2027.97,2317.71,2558.18,3415.61,2741.09,2742.81,2852.48,2856.63,3950.57,4182.55,4166.9,4388.21
Dzierzkowice,,1199.0,1346.0,1299.0,1425.0,1594.21,1823.27,1925.37,2070.91,2188.88,2477.01,2417.82,2417.47,2449.4,2706.65,3233.94,3780.85,5095.09
Gościeradów,,1168.0,1170.0,1307.0,1495.0,1781.96,2055.98,2214.76,2294.34,2556.06,2397.69,2665.76,2819.98,2755.29,2837.28,3620.06,3959.04,4967.74
Kraśnik,,1012.0,1080.0,1149.0,1401.0,1744.17,1806.11,1977.23,2084.65,2186.87,2997.37,2400.43,2542.97,2955.4,2708.73,3221.35,3575.74,4130.29
Szastarka,,1095.0,1246.0,1427.0,1501.0,1739.54,1888.68,2101.92,2303.99,2392.71,2660.37,2893.93,2969.03,3069.41,3740.87,3630.02,4211.94,4229.11
Trzydnik Duży,,1107.0,1283.0,1342.0,1545.0,1644.5,1719.46,1910.94,2057.14,2263.7,2212.1,2476.62,2690.28,2687.61,2761.47,3294.45,3716.86,3925.71
Urzędów,,1274.0,1290.0,1330.0,1429.0,1653.2,1870.11,2012.96,2161.19,2513.85,2695.3,2940.75,2721.59,2776.02,3417.8,,,
Urzędów,,,,,,,,,,,,,,,,3481.4,3786.08,4444.04
Wilkołaz,,1171.0,1224.0,1256.0,1370.0,1583.62,1734.0,1947.21,2456.38,2528.5,2276.75,2699.67,2719.05,3108.82,3064.53,3860.26,3878.72,4971.34
Zakrzówek,,1183.0,1306.0,1548.0,1518.0,1777.84,1891.2,2001.44,2150.93,2247.71,2583.11,2688.45,2856.29,3804.44,2884.66,3432.54,3604.31,4123.33
Powiat łukowski,,1274.0,1380.0,1490.0,1719.0,1944.97,2214.85,2216.68,2362.15,2536.36,2735.8,2715.07,2790.94,2950.29,3029.57,3828.04,4219.01,4636.76
Łuków,,1116.0,1237.0,1383.0,1497.0,1645.1,1857.23,1891.8,2030.82,2162.36,2326.59,2313.72,2516.74,2764.64,2858.31,3436.8,3761.65,4164.67
Stoczek Łukowski,,1631.0,1572.0,1797.0,1763.0,2345.08,2305.01,2365.82,2485.01,2984.92,2946.21,2751.11,2918.58,3189.43,3501.88,4103.39,4131.44,4262.49
Adamów,,1594.0,1764.0,1663.0,2403.0,2133.21,2286.62,2588.02,2560.49,2663.92,3012.36,2874.56,2907.87,3259.57,3179.46,4004.74,4601.02,4925.38
Krzywda,,1362.0,1559.0,1593.0,1751.0,2022.47,2269.23,2348.5,2468.29,2821.05,2971.08,2830.75,2989.12,3036.87,3205.39,4183.12,4654.55,4968.64
Łuków,,1234.0,1379.0,1534.0,1715.0,2154.31,2717.3,2278.54,2403.46,2631.1,2587.59,2808.44,2739.71,2737.13,2893.65,3858.19,4348.69,4808.25
Serokomla,,1281.0,1388.0,1497.0,1726.0,2024.31,2166.2,2360.39,2725.33,3420.87,2874.98,2830.9,3171.75,3152.03,3125.4,3889.92,4416.22,4626.07
Stanin,,1341.0,1499.0,1535.0,1816.0,2027.62,2298.51,2386.54,2621.46,2634.93,2784.77,2897.51,3045.3,3099.66,3552.02,4487.19,4641.37,5195.78
Stoczek Łukowski,,1273.0,1326.0,1452.0,1794.0,2062.92,2316.8,2296.75,2534.0,2623.69,3600.4,2796.32,2830.45,3288.96,2994.33,3954.05,4274.58,4803.42
Trzebieszów,,1446.0,1499.0,1624.0,2127.0,2204.12,2376.46,2432.47,2553.68,2743.3,2883.61,2899.16,2917.36,2979.12,2937.86,3792.2,4236.03,5076.88
Wojcieszków,,1292.0,1282.0,1406.0,1540.0,1860.15,2227.54,2361.39,2454.92,2411.58,2913.8,2949.6,2932.36,2945.35,2819.63,3861.36,4297.83,4467.86
Wola Mysłowska,,1208.0,1161.0,1324.0,1531.0,1790.56,1932.35,2104.48,2221.05,2296.42,2714.09,3215.91,2753.18,3125.83,3144.5,3442.7,3997.13,4249.16
Powiat opolski,,1209.0,1276.0,1390.0,1580.0,1698.06,1914.96,2092.4,2162.57,3889.69,2701.8,2774.98,2807.38,2928.96,3039.34,3558.83,3964.78,4222.23
Chodel,,1312.0,1462.0,1597.0,1746.0,1810.39,2106.93,2208.13,2336.14,2530.17,2672.54,2883.56,2893.36,2996.89,2949.7,3848.3,4230.82,4497.89
Józefów nad Wisłą,,1271.0,1295.0,1429.0,1690.0,1813.75,1960.93,2151.58,2334.58,2568.94,2464.65,2936.9,2982.53,3309.6,3147.05,3776.53,3937.82,
Józefów nad Wisłą,,,,,,,,,,,,,,,,,,4573.34
Karczmiska,,1269.0,1347.0,1745.0,1603.0,1748.88,1934.9,2099.59,2172.63,2472.72,2859.18,2738.53,2991.99,3122.11,3420.95,3646.22,3890.79,4098.91
Łaziska,,1254.0,1376.0,1490.0,1633.0,1750.07,1897.05,2021.59,2232.63,3771.37,2740.41,3105.96,2967.29,3097.61,3029.07,3576.62,3862.98,3913.54
Opole Lubelskie,,1153.0,1179.0,1310.0,1456.0,1671.37,1907.02,2169.21,2054.85,2256.8,2255.82,2578.37,2773.44,2802.81,3162.1,3637.16,4175.7,4424.05
Poniatowa,,1083.0,1222.0,1196.0,1553.0,1561.55,1838.82,1926.99,2056.54,2197.84,2414.69,2671.58,2371.32,2623.58,2630.78,3100.0,3616.67,3822.21
Wilków,,1448.0,1328.0,1390.0,1645.0,1777.05,1840.09,2139.0,2304.52,21027.45,5437.34,3139.43,3544.64,3299.32,3381.72,3851.83,4117.16,4293.49
Powiat puławski,,1491.0,1499.0,1654.0,1920.0,2073.9,2241.5,2427.98,2496.47,2825.24,3691.2,3440.94,3453.26,3380.97,3733.59,4295.19,4300.54,4788.75
Puławy,,1566.0,1614.0,1854.0,2134.0,2313.62,2496.58,2755.81,2742.9,3101.89,4803.79,3959.12,3821.38,3726.55,4513.5,4665.42,4638.9,5337.31
Baranów,,1238.0,1306.0,1449.0,1647.0,1973.23,2069.42,2373.7,2635.68,2840.43,2760.65,2887.17,3698.36,3367.66,3045.29,3610.65,4138.59,4486.6
Janowiec,,1397.0,1486.0,1445.0,1690.0,1778.12,2061.01,2191.51,2398.94,5045.45,3874.88,3119.84,3510.65,3971.69,3495.54,4605.12,3845.6,3933.59
Kazimierz Dolny,,1721.0,1561.0,1619.0,1992.0,1954.08,2373.25,2573.11,2465.35,3157.37,4226.27,3693.65,3691.08,3051.56,4104.49,5476.03,4355.57,4201.28
Końskowola,,1297.0,1368.0,1437.0,1510.0,1688.44,2252.72,2269.96,2244.06,2329.34,2646.05,2724.31,2884.7,3026.2,2938.68,3425.29,4045.18,4360.27
Kurów,,1135.0,1216.0,1363.0,1510.0,1668.4,1856.48,1922.62,2158.1,2194.42,2525.33,3274.41,3531.62,2995.83,2758.52,3431.78,3786.97,4727.48
Markuszów,,1449.0,1467.0,1598.0,1691.0,1930.56,1965.54,2104.54,2207.08,2234.62,3379.43,2716.67,3369.06,3038.89,3129.71,3864.4,4325.92,4731.02
Nałęczów,,1861.0,1697.0,1863.0,2530.0,2209.82,2224.33,2312.81,2783.38,2726.2,3053.0,3888.74,3741.97,3951.65,3716.97,4660.4,4363.35,4526.08
Puławy,,1369.0,1273.0,1337.0,1596.0,2042.64,1856.12,1983.59,2080.27,2134.8,2235.71,2665.0,2535.12,2663.61,2802.75,3570.92,3765.81,4013.69
Wąwolnica,,1424.0,1411.0,1399.0,1662.0,1812.14,1956.19,2110.26,2113.38,2553.52,2397.83,2776.16,2808.03,2737.91,2840.25,3533.58,4059.63,4379.43
Żyrzyn,,1319.0,1385.0,1514.0,1535.0,1747.95,1852.34,2125.87,2131.01,2370.22,2572.06,2536.73,2705.5,2908.62,2991.15,4337.77,4108.36,4787.19
Powiat rycki,,1284.0,1330.0,1448.0,1627.0,1821.48,2000.19,2082.66,2218.96,2466.94,2622.09,2750.55,2885.07,2924.94,2964.23,3575.0,3966.44,4384.37
Dęblin,,1252.0,1350.0,1425.0,1667.0,1787.33,2145.92,2003.01,2073.64,2390.31,2401.72,2527.57,2821.37,2924.38,2911.61,3337.05,3719.89,3827.21
Kłoczew,,1323.0,1385.0,1552.0,1652.0,1895.99,1967.88,2210.1,2376.63,2730.74,3024.53,3478.09,3030.06,3059.96,3012.33,3907.0,4313.88,4765.35
Nowodwór,,1310.0,1287.0,1464.0,1688.0,1973.04,2149.31,2313.59,2617.85,2754.75,2940.72,3565.05,3361.1,3177.43,3004.18,4018.47,4491.74,5436.66
Ryki,,1200.0,1229.0,1342.0,1456.0,1644.61,1784.97,1954.16,2132.49,2282.78,2260.64,2333.69,2453.54,2724.71,2840.42,3480.78,3909.81,4349.66
Stężyca,,1401.0,1495.0,1698.0,1931.0,1847.94,2161.68,2329.52,2217.46,2390.41,3404.6,3115.58,4111.64,3095.23,3305.3,3826.88,3771.38,4776.85
Ułęż,,1620.0,1477.0,1558.0,1795.0,2631.68,2151.13,2312.57,2648.92,3174.99,3460.46,3277.7,3036.47,3289.89,3312.34,3669.01,4447.18,4584.62
PODKARPACKIE,,1472.0,1496.0,1638.0,1872.0,2134.45,2343.6,2563.97,2676.48,3116.2,3169.57,3210.14,3310.4,3486.82,3505.68,4012.29,4445.18,4987.96
Powiat bieszczadzki,,1417.0,1565.0,1708.0,1794.0,2212.21,2488.69,2722.8,2782.62,3019.96,3187.05,3312.23,3265.73,3448.29,3300.21,3911.41,4200.6,4841.77
Czarna,,1668.0,1713.0,2247.0,1835.0,1945.44,2195.33,2484.29,2762.16,2662.72,3244.56,2902.3,3278.06,3496.03,3365.18,3902.28,3880.26,4634.65
Lutowiska,,1794.0,2368.0,1988.0,2213.0,3489.75,3551.56,4168.29,3983.28,4372.54,4471.6,4556.97,3938.6,4352.09,4075.11,4641.22,4952.9,6327.4
Ustrzyki Dolne,,1336.0,1443.0,1598.0,1736.0,2089.16,2396.09,2575.27,2636.72,2906.04,3024.21,3218.05,3183.68,3334.03,3199.13,3825.96,4155.68,4692.11
Powiat brzozowski,,1376.0,1390.0,1536.0,1770.0,1979.87,2187.32,2411.52,2525.01,3054.96,2870.03,2931.05,2982.35,3139.68,3142.73,3749.71,4110.3,4723.39
Brzozów,,1274.0,1310.0,1381.0,1638.0,1902.82,2134.29,2338.05,2441.82,2837.63,2851.27,2846.77,2937.25,2919.4,2973.67,3598.78,4016.9,4321.52
Domaradz,,1416.0,1405.0,1411.0,1683.0,2016.76,2164.86,2446.27,2579.65,3694.35,2943.27,2925.15,3056.6,3528.83,3155.37,3841.7,4167.49,4462.39
Dydnia,,1426.0,1474.0,1945.0,2359.0,2387.93,2425.39,2610.82,2799.81,3981.0,3009.64,2864.81,3300.29,3419.05,3306.45,4054.21,4295.66,5200.0
Haczów,,1627.0,1430.0,1540.0,1656.0,1816.65,2022.85,2238.33,2309.91,2287.5,2637.98,2788.96,2769.83,3178.4,3184.69,3554.7,3948.8,4162.15
Jasienica Rosielna,,1345.0,1370.0,1572.0,1883.0,2069.73,2369.76,2561.41,2661.9,3702.95,2962.89,3380.78,3150.56,3416.65,3576.46,4179.46,4343.25,6882.49
Nozdrzec,,1366.0,1510.0,1672.0,1692.0,1890.76,2153.54,2477.17,2589.35,2633.17,2912.6,3014.85,2841.71,2985.15,3064.75,3687.8,4148.93,4318.05
Powiat jasielski,,1313.0,1345.0,1482.0,1689.0,1969.19,2292.13,2506.78,2782.2,3126.55,2800.15,2921.12,3023.12,3225.77,3204.83,3777.04,4163.88,4371.67
Jasło,,1504.0,1505.0,1664.0,1871.0,2087.09,2353.51,2571.41,2665.66,3460.81,2946.87,3311.58,3381.18,3517.33,3424.51,4071.54,4636.55,4542.11
Brzyska,,1308.0,1287.0,1469.0,1577.0,1939.21,2114.51,2295.67,2383.43,2783.54,2685.19,2820.2,3124.96,2991.86,3210.22,3826.62,4177.33,4584.42
Dębowiec,,1263.0,1274.0,1425.0,1699.0,1965.97,2195.72,2445.38,2390.48,2591.35,2960.11,2812.41,2938.61,3027.93,3264.09,3715.66,4037.41,4318.69
