jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998,1999,2000,2019
Powiat mikołowski,4810.0,5465.0,5411.0,5131.0,4658.0,4677.0,3324.0,1716.0,2220.0,2643.0,2780.0,3196.0,3273.0,2703.0,2302.0,1637.0,1330.0,1290.0,,,3664.0,1129.0
Powiat pszczyński,5012.0,5783.0,5774.0,5348.0,5063.0,3761.0,2762.0,1564.0,2492.0,2699.0,2997.0,3339.0,3321.0,2599.0,2268.0,1989.0,1581.0,1400.0,1749.0,3183.0,3964.0,1189.0
Powiat bieruńsko-lędziński,3121.0,2965.0,2811.0,2725.0,2495.0,1961.0,1346.0,754.0,1140.0,1283.0,1306.0,1580.0,1611.0,1225.0,967.0,850.0,663.0,559.0,7069.0,9748.0,2261.0,448.0
Powiat m.Tychy,8969.0,8506.0,7808.0,7183.0,6635.0,4967.0,3091.0,2214.0,3222.0,3741.0,3558.0,4307.0,4193.0,3059.0,2371.0,2155.0,1725.0,1594.0,,,6896.0,1245.0
LUBUSKIE,102187.0,109551.0,108026.0,99389.0,89151.0,72816.0,52293.0,46311.0,61062.0,59225.0,59134.0,60614.0,59805.0,47115.0,39348.0,32367.0,24605.0,22201.0,54227.0,74740.0,89139.0,18498.0
Powiat gorzowski,5574.0,6423.0,6545.0,6041.0,4762.0,3478.0,2275.0,1755.0,2782.0,2792.0,3111.0,3020.0,3194.0,2155.0,2002.0,1751.0,1207.0,1118.0,6256.0,,5021.0,947.0
Powiat międzyrzecki,6393.0,6785.0,6651.0,5984.0,5594.0,4725.0,3848.0,3473.0,4584.0,4713.0,4587.0,4873.0,5085.0,3981.0,3295.0,3140.0,2688.0,2462.0,3366.0,4169.0,5383.0,1883.0
Powiat słubicki,4875.0,4967.0,4953.0,4776.0,4452.0,3786.0,2781.0,2439.0,3581.0,3242.0,2356.0,2154.0,2110.0,1257.0,989.0,681.0,511.0,413.0,3017.0,3395.0,4223.0,415.0
Powiat strzelecko-drezdenecki,6484.0,6518.0,6816.0,6456.0,6042.0,5017.0,4000.0,3846.0,4570.0,4355.0,4637.0,4903.0,4777.0,3600.0,3104.0,2629.0,1980.0,1902.0,3524.0,4676.0,5356.0,1686.0
Powiat sulęciński,4233.0,4272.0,4013.0,3555.0,2911.0,2426.0,1652.0,1262.0,1855.0,1751.0,1735.0,1848.0,1782.0,1534.0,1336.0,1102.0,788.0,740.0,1947.0,2598.0,3559.0,666.0
Powiat m.Gorzów Wielkopolski,9005.0,10555.0,10573.0,9898.0,8175.0,4854.0,3330.0,2370.0,4443.0,4546.0,5332.0,5250.0,4898.0,3378.0,2918.0,2230.0,1508.0,1482.0,,10306.0,7739.0,1296.0
Powiat krośnieński,8029.0,8157.0,7664.0,7163.0,6715.0,6185.0,5055.0,4694.0,4988.0,4580.0,4363.0,4373.0,4248.0,3250.0,2933.0,2430.0,1938.0,1619.0,4796.0,6133.0,6796.0,1392.0
Powiat nowosolski,15989.0,12241.0,11847.0,11421.0,10672.0,8904.0,6129.0,5977.0,7838.0,7497.0,6958.0,7301.0,7539.0,5973.0,5058.0,3998.0,2909.0,2334.0,9558.0,12669.0,14120.0,1664.0
Powiat świebodziński,4305.0,4858.0,4581.0,4211.0,3681.0,3022.0,1674.0,1861.0,2393.0,2100.0,2359.0,2955.0,3124.0,2386.0,2143.0,1798.0,1273.0,1109.0,1709.0,2764.0,3656.0,890.0
Powiat zielonogórski,8204.0,9354.0,9182.0,7775.0,6931.0,5899.0,3739.0,2847.0,4346.0,4213.0,4583.0,4945.0,4698.0,4262.0,2893.0,2325.0,1788.0,1722.0,7741.0,,7084.0,1475.0
Powiat żagański,10400.0,10833.0,10838.0,9670.0,9036.0,8097.0,6323.0,5693.0,6706.0,6686.0,6023.0,5851.0,5986.0,4932.0,3846.0,3059.0,2398.0,1957.0,5950.0,7715.0,9410.0,1803.0
Powiat żarski,11639.0,12358.0,11813.0,11465.0,10409.0,8249.0,5607.0,5361.0,6510.0,5975.0,5959.0,5875.0,5547.0,4351.0,3223.0,2745.0,2121.0,1943.0,6363.0,8525.0,10177.0,1695.0
Powiat wschowski,,3959.0,3907.0,3700.0,3081.0,2499.0,1874.0,1985.0,2103.0,2246.0,2252.0,2440.0,2285.0,1812.0,1605.0,1485.0,1228.0,1119.0,,,,1022.0
Powiat m.Zielona Góra,7057.0,8271.0,8643.0,7274.0,6690.0,5675.0,4006.0,2748.0,4363.0,4529.0,4879.0,4826.0,4532.0,4244.0,4003.0,2994.0,2268.0,2281.0,,11790.0,6615.0,1664.0
WIELKOPOLSKIE,237268.0,249238.0,247869.0,232251.0,211420.0,169089.0,112827.0,91441.0,133563.0,135172.0,134954.0,147902.0,144832.0,116410.0,93311.0,77697.0,58857.0,50867.0,121491.0,164639.0,193326.0,46313.0
Powiat jarociński,6969.0,7057.0,7148.0,6500.0,6121.0,5041.0,3379.0,2571.0,3732.0,4010.0,3309.0,3652.0,3614.0,2863.0,2379.0,1536.0,1241.0,1032.0,3711.0,5019.0,5902.0,1012.0
Powiat kaliski,6021.0,5820.0,5895.0,5559.0,5144.0,4588.0,2442.0,1750.0,2536.0,2493.0,2497.0,2654.0,2585.0,2107.0,1623.0,1319.0,905.0,742.0,7860.0,10894.0,5354.0,691.0
Powiat kępiński,3334.0,3196.0,3168.0,2148.0,1975.0,1330.0,802.0,785.0,1192.0,1470.0,1714.0,1570.0,1392.0,972.0,772.0,659.0,606.0,585.0,1519.0,2128.0,2842.0,523.0
Powiat krotoszyński,7078.0,6969.0,6913.0,5931.0,5398.0,4575.0,2937.0,3292.0,3679.0,3382.0,3382.0,3320.0,3168.0,2837.0,1948.0,1614.0,1304.0,1161.0,3980.0,5264.0,6120.0,1019.0
