jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Powiat nakielski,,,,,,,,,,,,,2237.0,1968.0,1572.0,1447.0,1312.0,1749.0,1525.0
Powiat żniński,,,,,,,,,,,,,1354.0,1136.0,1142.0,1195.0,991.0,1082.0,1066.0
Powiat sępoleński,,,,,,,,,,,,,849.0,732.0,591.0,526.0,604.0,771.0,696.0
Powiat świecki,,,,,,,,,,,,,2057.0,1569.0,1511.0,1365.0,1350.0,1549.0,1418.0
Powiat tucholski,,,,,,,,,,,,,844.0,748.0,534.0,482.0,452.0,622.0,604.0
POMORSKIE,,113672.0,112533.0,110587.0,99594.0,90182.0,74297.0,75171.0,90751.0,81849.0,74488.0,63292.0,65796.0,54739.0,49050.0,46072.0,44110.0,45378.0,48322.0
Powiat gdański,,,,,,,,,,,,,3435.0,3148.0,2426.0,2317.0,2454.0,2632.0,3229.0
Powiat kartuski,,,,,,,,,,,,,2080.0,1935.0,2116.0,2087.0,1896.0,1842.0,1967.0
Powiat nowodworski,,,,,,,,,,,,,1110.0,822.0,713.0,780.0,674.0,611.0,579.0
Powiat pucki,,,,,,,,,,,,,2379.0,1739.0,2054.0,1495.0,1580.0,1342.0,1495.0
Powiat wejherowski,,,,,,,,,,,,,4229.0,3900.0,3742.0,3380.0,3132.0,3416.0,3279.0
Powiat bytowski,,,,,,,,,,,,,1679.0,1228.0,1191.0,1128.0,931.0,1369.0,1251.0
Powiat lęborski,,,,,,,,,,,,,1880.0,1673.0,1539.0,1315.0,1339.0,1772.0,1261.0
Powiat słupski,,,,,,,,,,,,,2083.0,1798.0,1497.0,1359.0,1394.0,1552.0,1519.0
Powiat m.Słupsk,,,,,,,,,,,,,2831.0,2524.0,1942.0,1887.0,1713.0,1905.0,1908.0
Powiat kwidzyński,,,,,,,,,,,,,1900.0,1495.0,1362.0,1268.0,1325.0,1286.0,1170.0
Powiat malborski,,,,,,,,,,,,,1484.0,1187.0,1396.0,1163.0,1006.0,1101.0,1159.0
Powiat starogardzki,,,,,,,,,,,,,2859.0,2589.0,2774.0,2611.0,2434.0,2561.0,2454.0
Powiat tczewski,,,,,,,,,,,,,3093.0,3028.0,2803.0,2222.0,2073.0,2115.0,2328.0
Powiat sztumski,,,,,,,,,,,,,911.0,749.0,781.0,542.0,617.0,575.0,618.0
Powiat m.Gdańsk,,,,,,,,,,,,,17561.0,12335.0,11203.0,11155.0,11622.0,10760.0,13871.0
Powiat m.Gdynia,,,,,,,,,,,,,8689.0,7996.0,6012.0,6215.0,5581.0,5883.0,5549.0
Powiat m.Sopot,,,,,,,,,,,,,2736.0,2390.0,2046.0,2057.0,1377.0,1321.0,1400.0
Powiat chojnicki,,,,,,,,,,,,,2463.0,2006.0,1492.0,1397.0,1380.0,1704.0,1618.0
Powiat człuchowski,,,,,,,,,,,,,1188.0,1073.0,871.0,686.0,561.0,691.0,655.0
Powiat kościerski,,,,,,,,,,,,,1206.0,1124.0,1090.0,1008.0,1021.0,940.0,1012.0
WARMIŃSKO-MAZURSKIE,,58604.0,55970.0,53476.0,50234.0,48926.0,44876.0,39364.0,38841.0,37666.0,39193.0,37375.0,32988.0,30467.0,27120.0,26971.0,24490.0,25203.0,25839.0
Powiat braniewski,,,,,,,,,,,,,1136.0,878.0,803.0,796.0,799.0,744.0,823.0
Powiat działdowski,,,,,,,,,,,,,1501.0,1129.0,1178.0,1001.0,956.0,995.0,1050.0
Powiat elbląski,,,,,,,,,,,,,1462.0,1507.0,1037.0,1217.0,816.0,876.0,825.0
Powiat iławski,,,,,,,,,,,,,1989.0,1908.0,1640.0,1852.0,1530.0,1746.0,1701.0
Powiat nowomiejski,,,,,,,,,,,,,733.0,673.0,624.0,657.0,653.0,660.0,755.0
Powiat ostródzki,,,,,,,,,,,,,2370.0,2101.0,2038.0,1921.0,1811.0,1755.0,1847.0
Powiat m.Elbląg,,,,,,,,,,,,,3582.0,3399.0,3183.0,2876.0,2833.0,2711.0,2802.0
Powiat ełcki,,,,,,,,,,,,,1931.0,1784.0,1707.0,1552.0,1567.0,1679.0,1623.0
Powiat giżycki,,,,,,,,,,,,,1347.0,1122.0,1015.0,1025.0,902.0,1066.0,992.0
Powiat olecki,,,,,,,,,,,,,738.0,578.0,551.0,438.0,564.0,526.0,606.0
Powiat piski,,,,,,,,,,,,,1285.0,1031.0,1092.0,1089.0,980.0,896.0,1014.0
Powiat gołdapski,,,,,,,,,,,,,550.0,418.0,382.0,350.0,265.0,335.0,495.0
