,SLD,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,UW,Samoobrona,PiS,PSL,PO,Komitet Wyborczy Alternatywa Ruch Społeczny,Komitet Wyborczy Polskiej Wspólnoty Narodowej,LPR,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Partii Socjalistycznej,"Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego Śląska"""
Powiat zwoleński,3388,417,111,1900,302,3435,494,177,,702.0,,14.0,,
Powiat białobrzeski,2279,749,106,1548,449,3043,974,39,,660.0,,10.0,,
Powiat grójecki,9755,1442,340,5936,2799,8807,2053,104,,2531.0,,25.0,,
Powiat lipski,5392,330,100,2211,236,4152,335,88,,610.0,,9.0,,
Powiat szydłowiecki,3888,749,166,1430,760,2120,2428,53,,892.0,,16.0,,
Powiat radomski,12639,1962,491,6139,2412,8416,4967,267,,3427.0,,52.0,,
Powiat przysuski,3594,908,249,3463,534,3294,1143,70,,1581.0,,18.0,,
Powiat kozienicki,6409,714,206,3432,1415,4207,1904,50,,1401.0,,12.0,,
Powiat rypiński,5185,469,118,1445,453,2257,1244,31,,718.0,,16.0,24.0,
Grudziądz,17537,925,881,2538,3003,588,4079,96,,1796.0,,31.0,50.0,
Powiat włocławski,10911,984,234,4482,895,4594,1163,71,,1202.0,,194.0,48.0,
Powiat lipnowski,7358,666,193,2533,837,2626,1224,65,,898.0,,47.0,38.0,
Toruń,32915,2483,4566,4286,8617,1410,10259,132,,8404.0,,52.0,57.0,
Powiat chełmiński,6795,396,258,2388,660,1491,1020,46,,1740.0,,44.0,39.0,
Powiat toruński,8725,689,411,3082,1697,2236,1620,36,,1878.0,,50.0,41.0,
Włocławek,26151,3836,742,2752,2255,1322,3433,86,,2225.0,,52.0,126.0,
Powiat golubsko-dobrzyński,5733,535,163,2434,523,1952,935,29,,979.0,,47.0,26.0,
Powiat radziejowski,6857,426,129,2352,461,2551,473,27,,575.0,,74.0,96.0,
Powiat wąbrzeski,4644,398,148,2186,449,1117,1001,30,,545.0,,19.0,20.0,
Powiat grudziądzki,3981,303,136,3246,424,1089,656,25,,534.0,,24.0,20.0,
Powiat brodnicki,9049,834,362,3248,1027,3718,2704,63,,1861.0,,71.0,40.0,
Powiat aleksandrowski,8586,860,283,2305,1463,1946,1445,43,,1468.0,,38.0,41.0,
Powiat nakielski,12505,1405,549,3048,1281,4134,1631,63,,1637.0,,73.0,,
Bydgoszcz,71296,7723,4225,7696,15220,3525,16262,331,,14547.0,,239.0,,
Powiat inowrocławski,32020,3066,892,5724,2755,4829,3649,163,,3131.0,,71.0,,
Powiat mogileński,7955,558,330,2084,707,2741,791,70,,839.0,,21.0,,
Powiat bydgoski,11715,1237,437,3576,1671,1668,2212,66,,1827.0,,49.0,,
Powiat sępoleński,5740,437,209,1986,515,1793,1166,41,,1277.0,,25.0,,
Powiat świecki,13146,1006,436,3647,1452,3611,2400,83,,2140.0,,68.0,,
Powiat tucholski,7156,660,205,2106,797,1804,1668,41,,1171.0,,68.0,,
Powiat żniński,11953,1022,519,3086,1021,2923,1125,59,,1534.0,,57.0,,
Powiat lubartowski,9881,1328,694,5069,1734,6627,1510,120,,3212.0,,,108.0,
Powiat opolski,7111,584,176,3842,830,5736,1076,136,,1400.0,,,33.0,
Powiat rycki,9495,398,195,2542,1441,6224,890,82,,1376.0,,,35.0,
Powiat lubelski,9755,1362,574,9468,2547,13583,2078,183,,4330.0,,,114.0,
Powiat łęczyński,5851,831,216,2933,1050,3389,827,69,,1168.0,,,36.0,
Powiat łukowski,14452,1362,382,6037,1811,9724,1623,163,,2553.0,,,80.0,
Lublin,54057,8064,5470,9545,20769,7112,17630,390,,17029.0,,,302.0,
Powiat kraśnicki,11442,1604,450,5918,2924,8107,2021,158,,3272.0,,,211.0,
Powiat puławski,13354,1461,803,5496,4151,6275,6004,173,,3763.0,,,144.0,
Powiat świdnicki,8402,1074,402,3673,2959,3275,2468,128,,2159.0,,,47.0,
Powiat janowski,5014,1479,96,3273,671,4946,716,107,,2777.0,,,69.0,
Powiat parczewski,4427,373,123,2344,612,3587,579,51,,1395.0,,,,
Powiat chełmski,8917,817,255,4010,695,3940,1244,157,,1514.0,,,,
Powiat włodawski,5516,530,226,1839,522,2490,839,76,,1438.0,,,,
Zamość,10854,837,591,2310,2493,2011,1958,61,,4305.0,,,,
Powiat zamojski,9131,1060,454,7611,2089,10373,1248,137,,5744.0,,,,
Powiat radzyński,6881,489,191,3711,1142,6928,1167,93,,2479.0,,,,
Powiat krasnostawski,9743,749,817,4242,1057,6432,1310,113,,2128.0,,,,
Biała Podlaska,9295,1510,403,2229,1291,1869,1723,41,,2404.0,,,,
Chełm,11682,1244,419,2134,2102,1537,3114,111,,2022.0,,,,
Powiat bialski,11678,2026,384,7345,1457,9071,2380,121,,3798.0,,,,
Powiat tomaszowski,9733,848,375,5224,1135,9471,1643,91,,3955.0,,,,
Powiat hrubieszowski,8582,952,330,5194,1234,6018,749,149,,2581.0,,,,
Powiat biłgorajski,10938,1634,504,5662,1916,8864,2094,153,,4611.0,,,,
Powiat działdowski,9579,820,236,2597,894,2566,1509,99,,1722.0,,,,
Powiat nowomiejski,5474,316,156,2491,761,2457,812,48,,1213.0,,,,
Powiat iławski,13474,715,1497,3884,1239,3278,2512,108,,1530.0,,,,
Powiat lidzbarski,5454,252,394,1957,773,964,1938,42,,911.0,,,,
Powiat elbląski,6764,214,600,2314,951,1517,1369,58,,756.0,,,,
Powiat ostródzki,16218,1583,865,3350,2408,1795,3066,117,,1703.0,,,,
Powiat braniewski,5655,258,875,1461,721,2275,1338,34,,576.0,,,,
Powiat bartoszycki,8342,246,1348,3984,808,1669,1169,60,,1169.0,,,,
Elbląg,22783,924,1588,2851,3904,1210,6548,121,,3522.0,,,,
