,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polskiego Stronnictwa Ludowego,Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,Komitet Wyborczy Partii Kobiet,Komitet Wyborczy Samoobrona Patriotyczna
kędzierzyńsko-kozielski,313,462,7155,18090,1246,435,3730.0,5133,,
nyski,632,925,16674,22058,4346,1835,510.0,6215,,
limanowski,262,983,25035,10748,7102,446,,1698,,
Nowy Sącz,232,468,17295,15229,2027,252,,4729,,
tatrzański,146,236,11617,10213,3390,172,,1184,,
nowotarski,490,758,33516,20407,5760,620,,2980,,
nowosądecki,567,1045,47735,17434,7743,1405,,4380,,
gorlicki,300,441,17762,11637,4614,758,,4086,,
m,550,1877,43650,84675,1752,288,,12300,1662.0,
Warszawa,4968,12387,273327,534267,24926,4252,,132772,12330.0,
bydgoski,466,432,8867,17197,3382,789,,6437,,
żniński,361,331,6004,8681,4303,726,,5215,,
Bydgoszcz,1516,1608,45718,89880,6075,1346,,33440,,
tucholski,254,183,4400,6276,2395,427,,3352,,
mogileński,263,198,3702,5025,3306,536,,3230,,
sępoleński,247,193,3394,4931,2362,532,,2335,,
inowrocławski,1027,683,14486,25566,6506,1043,,13475,,
świecki,493,483,7891,13532,4819,1062,,5735,,
nakielski,403,371,6974,13617,3328,693,,6400,,
Przemyśl,230,324,10717,13596,934,254,,3405,,
przeworski,264,307,13278,5958,6343,576,,1751,,
bieszczadzki,71,89,2413,2913,733,168,,1004,,
lubaczowski,219,234,7115,3457,7148,533,,1738,,
Krosno,163,349,7915,9459,904,157,,2736,,
jarosławski,426,638,22102,12412,8755,964,,2640,,
jasielski,713,973,22634,10807,4217,597,,3481,,
sanocki,293,484,12862,11326,3259,828,,5052,,
krośnieński,484,713,19785,10821,3979,621,,3960,,
