województwo,Blue,Red,Gray
POWIAT ZIELONOGÓRSKI,6859.0,2409,2498.0
POWIAT ZWOLEŃSKI,6339.0,494,719.0
POWIAT ZĄBKOWICKI,7769.0,2109,1693.0
POWIAT ZŁOTORYJSKI,4877.0,1336,744.0
POWIAT ZŁOTOWSKI,8260.0,2120,1900.0
POWIAT ŁASKI,7543.0,1255,881.0
POWIAT ŁAŃCUCKI,17482.0,1698,3663.0
POWIAT ŁOMŻYŃSKI,11093.0,543,919.0
POWIAT ŁOSICKI,8412.0,438,620.0
POWIAT ŁOWICKI,15964.0,1774,1514.0
POWIAT ŁUKOWSKI,20125.0,1623,1987.0
POWIAT ŁÓDZKI WSCHODNI,14041.0,3037,2373.0
POWIAT ŁĘCZYCKI,9592.0,1197,1009.0
POWIAT ŁĘCZYŃSKI,8540.0,827,1152.0
POWIAT ŚREDZKI,6823.0,1653,1148.0
POWIAT ŚREDZKI,5179.0,1466,877.0
POWIAT ŚREMSKI,5987.0,1706,1501.0
POWIAT ŚWIDNICKI,14985.0,8930,5187.0
POWIAT ŚWIDNICKI,12066.0,2468,1651.0
POWIAT ŚWIDWIŃSKI,5298.0,1230,936.0
POWIAT ŚWIEBODZIŃSKI,5084.0,1669,1686.0
POWIAT ŚWIECKI,10850.0,2400,1593.0
POWIAT ŻAGAŃSKI,6574.0,2669,2097.0
POWIAT ŻARSKI,6416.0,2437,2804.0
POWIAT ŻNIŃSKI,8564.0,1125,1657.0
POWIAT ŻUROMIŃSKI,6705.0,570,869.0
POWIAT ŻYRARDOWSKI,8217.0,2501,1449.0
POWIAT ŻYWIECKI,17953.0,6674,11395.0
POZNAŃ,61817.0,48864,23571.0
PRZEMYŚL,9167.0,1827,3614.0
PŁOCK,13501.0,4466,4607.0
RADOM,28122.0,10961,8108.0
RUDA ŚLĄSKA,7583.0,7338,9879.0
RYBNIK,14103.0,8068,6110.0
RZESZÓW,23567.0,8584,7057.0
SIEDLCE,10734.0,2966,2615.0
SIEMIANOWICE ŚLĄSKIE,4064.0,4692,3443.0
SKIERNIEWICE,5301.0,1915,1070.0
SOPOT,5939.0,6312,1664.0
SOSNOWIEC,16587.0,8005,7284.0
SUWAŁKI,7433.0,2463,1392.0
SZCZECIN,42457.0,22689,15142.0
SŁUPSK,9031.0,4367,3038.0
TARNOBRZEG,5528.0,1662,1380.0
TARNÓW,16062.0,7355,5130.0
TORUŃ,22717.0,10259,7290.0
TYCHY,10888.0,7612,8382.0
WAŁBRZYCH,8950.0,4306,3260.0
WROCŁAW,71460.0,52351,30601.0
WŁOCŁAWEK,8554.0,3433,4842.0
ZABRZE,11335.0,6224,6996.0
ZAMOŚĆ,11119.0,1958,1489.0
ZIELONA GÓRA,9411.0,5697,5944.0
ŁOMŻA,8594.0,2002,1660.0
ŁÓDĽ,73977.0,37530,29276.0
ŚWINOUJŚCIE,3364.0,2120,964.0
ŚWIĘTOCHŁOWICE,2479.0,3073,2695.0
ŻORY,5055.0,3552,2356.0
